cellName	geneSymbol
Clara cells	Clara cells	Syt2,Cyp2e1,Foxm1,Ctse,Scgb3a2,Sftpc,Cyp4b1,Bpifa1,Ahr,Mmp28,Lepr,Ern1,Sftpa1,Carm1,Rab3d,Sftpd
Crypt cells	Crypt cells	Kcne3,Kcnq1,Prom1,Lgr5,Ephb2,Ascl2,Bmi1,Lrig1,Tert,Msi1,Tnfrsf19,Axin2
Decidual cells	Decidual cells	Xcl1,Igfbp1,Ctsw,Trdc,4922502D21Rik,Cst7,Areg
Delta cells	Delta cells	Ffar4,Sst,Pcsk9,Rbp4,Baiap3,Bche,Gabrb3,Unc5b,Edn3,Ghsr,Frzb,Gabrg2,Pou3f1,Bhlhe41,Ehf,Lcorl,Etv1
Dendritic cells	Dendritic cells	Il6,Cd83,Trem2,Arg1,Mgl2,Dnase1l3,Clec9a,Etv6,Cd163,Vsig4,Nr4a3,Traf1,Relb,Batf3,Ccl22,Slamf7,Xcr1,Cxcl16,Scimp,Fcgr3,Fgd2,Rab7b,Naaa,Hck,Cd180,Hfe,Ccr2,Ryr1,Itgae,Sema4a,Slamf8,Cxcr3,Flt3,Tlr3,Ap1s3,Ass1,Adgrg5,Gpr68,Kmo,P2ry10,Rab30,Zbtb46,Aif1,Lst1,Ctss,Irf8,Adgre1,Ccl17,Cd207,Cd8a,Cx3cr1,Gm49368,Ly75,Pdcd1lg2,Gm9733,Axl,Ppp1r14a,Dab2,Vcan,Anxa1,Fcer1a,Cadm1,Lgals3,Napsa,Plbd1,Rnase6,Plac8,H2afy,Slc11a1,Pdpn,Cd28,Ppl,Slurp1,Serpinb9
Distal tubule cells	Distal tubule cells	Cldn8,Slc12a3,Umod,Calb1,Pvalb,Pgam2,Wnk4,Sgms2,Slc16a7,Abca13,Emx1,Trpm6,Cwh43,Trpm7,Uroc1,Tfrc,Tsc22d2,Larp1b,Clcnka,Klhl3,Kcnj1,Hoxd8,Egf,Tmem213,Tmem52b,Trhde,Kcnj16,Rhcg,Scnn1a,Wnk1,Slc8a1,Aqp2,Avpr2
Dopaminergic neurons	Dopaminergic neurons	Slc6a3,Foxa2,Kcnj6,Nr4a2,Lmx1b,Cadps2,Chrna6,Mapk8ip2,Ntn1,Prkcg,Tenm1,Neurod6,Smad3,AW822073
Ductal cells	Ductal cells	Krt20,Onecut1,Ambp,Anxa4,Serping1,Tspan8,Slpi,Serpina5,Pdlim3,Wfdc2,Slc3a1,Aldh1a3,Vtcn1,Lamb3,Ccl2,Ctsh,S100a10
Embryonic stem cells	Embryonic stem cells	Bmyc,Foxd3,Pou5f1,Itga4,Podxl,Zic1,Prdm5,Ano6,Cdk8,Slc46a2,Zscan10,Kcnip3,Pcgf2,Nanog,Bcl3,Sall4,Tdgf1,Hoxb5,Sumo2,Bnip3,Gjc1,Trim6,Pum2,Gjb4,Sox15,Gm45902,Gjb1,Lmna,Fbxo15,Pml,Thy1,Cd9,Pecam1,Itga6,Fzd1,Sox2,Klf4,Zfp42,Taf8,Gm15262,Nacc1,Nr6a1,Stat3,Lef1,L1td1,Gdf3,Dppa4,Dppa2,Dppa3,Smad5,Smad4,Smad2,Hes1,Esrrb,Dnmt3c,Trim28,Piwil1,Piwil2,Piwil4,Lifr,Il6st
Endothelial cells	Endothelial cells	Icam1,Itgb3,Sele,Vcam1,Mcam,Procr,Tek,Flt4,Apln,Vwf,Nos3,Thbd,Plvap,Ackr1,Slco1c1,Tmem100,Adgrf5,Nostrin,Mfsd2a,Acvrl1,Mylk,Rasip1,Tie1,Aplnr,Nrp2,Adamts1,Rprm,Adora2a,Arap3,Arhgef15,Card10,Clec14a,Dll4,Gimap5,Gja4,Mmrn2,Npr1,Prkch,Robo4,Scarf1,Sox7,Spns2,Thsd1,Apold1,Hyal2,Clec4g,Gpr182,F8,Rbp7,Calcrl,Aqp7,Tcf15,Cd300lg,Btnl9,Meox2,Erg,Hexim1,Mmrn1,C7,Ramp3,Vegfc,Hey1,Rnd1,Bdp1,Cd46,Meox1,Ccl19,Madcam1,Irx3,Birc2,Lyve1,Sema3d,Emcn,Wfdc1,Adgrl4,Vwa1,Ece1,Ptprb,Cldn5,Sema7a,Foxf2,Pdgfb,Ecscr,Elk3,Cdh5,Plec,Tgfbr2,Cd93,Rgs5,Slc7a5,Eng,Kdr,Slc2a1,Egfl7,Flt1,Epas1,Ednrb,Kcnj8,Cd82,Chst1,Cd34,Prox1,Ehd3,Srgn,Clic4,Ushbp1,Myf6,Oit3,Il1a,C1qtnf1,Pcdh12,Igfbp7,Palmd,Bmx,Sparc,Mgll,Slc9a3r2,Rgcc,Icam2,Sparcl1,Tm4sf1,Srpx,Id3,Cav1,Gng11,Hspg2,Clec1b,S100a13,Crhbp,Sgk1,Cdkn1c,Inmt,Ptgds,Timp3,Gpm6a,Fam167b,Ltc4s,Stab2
