cellName	geneSymbol
Delta cells	Delta cells	FFAR4,SST,PCSK9,RBP4,HHEX,GPC5-AS1,BAIAP3,MS4A8,BCHE,GABRB3,UNC5B,EDN3,GHSR,FRZB,GABRG2,POU3F1,BHLHE41,EHF,LCORL,ETV1
Dendritic cells	Dendritic cells	IL6,CD83,CD1A,CD1C,CD209,LAMP3,CD1B,TREM2,ARG1,HLA-DMB,HLA-DMA,HLA-DQB1,CLEC10A,HLA-DRB1,HLA-DPA1,HLA-DPB1,DNASE1L3,CLEC9A,LILRB2,ETV6,CD163,CXCL8,VSIG4,NR4A3,TRAF1,RELB,BATF3,CCL22,SLAMF7,XCR1,CXCL16,SCIMP,FCGR2B,FGD2,RAB7B,NAAA,HCK,CD180,HFE,CCR2,RYR1,ITGAE,SEMA4A,SLAMF8,CXCR3,FLT3,TLR3,GPR132,ADAM19,AP1S3,ASS1,ADGRG5,GPR68,KMO,P2RY10,RAB30,SEPT6,ZBTB46,AIF1,LST1,CTSS,IRF8,ADGRE1,CCL17,CD207,CD8A,CX3CR1,ITGAM,LY75,PDCD1LG2,SIRPA,FCGR3A,FTL,SERPINA1,AXL,PPP1R14A,SIGLEC6,DAB2,VCAN,ANXA1,FCER1A,C1ORF54,CADM1,CAMK2D,LGALS3,NAPSA,PLBD1,RNASE6,PLAC8,H2AFY,SLC11A1,PDPN,CD28,PPL,SLURP1,HLA-A,HLA-B,HLA-C,HLA-DRB5,SERPINB9
Distal tubule cells	Distal tubule cells	CLDN8,SLC12A3,UMOD,CALB1,PVALB,PGAM2,WNK4,SGMS2,SLC16A7,ABCA13,EMX1,TRPM6,CWH43,TRPM7,UROC1,TFRC,TSC22D2,LARP1B,CLCNKB,KLHL3,KCNJ1,HOXD8,EGF,TMEM213,TMEM52B,TRHDE,KCNJ16,RHCG,SCNN1A,WNK1,SLC8A1,AQP2,AVPR2
Dopaminergic neurons	Dopaminergic neurons	SLC6A3,FOXA2,KCNJ6,NR4A2,LMX1B,CADPS2,CHRNA6,MAPK8IP2,NTN1,PRKCG,SCN2A,TENM1,ZIM3,NEUROD6,SMAD3,PITX3
Ductal cells	Ductal cells	KRT20,ONECUT1,AMBP,ANXA4,SERPING1,TSPAN8,SLPI,SERPINA5,PDLIM3,WFDC2,SLC3A1,ALDH1A3,VTCN1,LAMB3,CCL2,DCDC2,CTSH,S100A10
Embryonic stem cells	Embryonic stem cells	MYC,FOXD3,POU5F1,ITGA4,PODXL,ALPP,ZIC1,PRDM5,ANO6,CDK8,SLC46A2,TEX19,ZSCAN10,KCNIP3,PCGF2,NANOG,BCL3,SALL4,TDGF1,HOXB5,SUMO2,BNIP3,GJC1,TRIM6,PUM2,GJB4,SOX15,UTF1,GJB1,LMNA,FBXO15,PML,THY1,CD9,CD59,PECAM1,ITGA6,FZD1,SOX2,KLF4,ZFP42,ZFX,TAF8,HMGA2,NACC1,NR6A1,STAT3,LEF1,L1TD1,KHDC3L,GDF3,DPPA5,DPPA4,DPPA2,DPPA3,SMAD5,SMAD4,SMAD2,HES1,ESRRB,DNMT3B,TRIM28,PIWIL1,PIWIL2,PIWIL4,LIFR,IL6ST
Endothelial cells	Endothelial cells	ICAM1,ITGB3,SELE,VCAM1,MCAM,PROCR,TEK,FLT4,APLN,VWF,NOS3,THBD,PLVAP,ACKR1,SLCO1C1,TMEM100,ADGRF5,NOSTRIN,MFSD2A,ACVRL1,MYLK,RASIP1,TIE1,APLNR,NRP2,ADAMTS1,RPRM,ADORA2A,ARAP3,ARHGEF15,CARD10,CLEC14A,DLL4,GIMAP5,GJA4,MMRN2,NOTCH4,NPR1,PRKCH,ROBO4,SCARF1,SOX7,SPNS2,THSD1,APOLD1,HYAL2,CLEC4G,GPR182,F8,RBP7,CALCRL,CASZ1,AQP7,TCF15,CD300LG,BTNL9,MEOX2,ERG,HEXIM1,GLYCAM1,MMRN1,C7,RAMP3,VEGFC,HEY1,RND1,BDP1,CD46,MEOX1,CCL19,MADCAM1,IRX3,BIRC2,LYVE1,SEMA3D,EMCN,WFDC1,ADGRL4,VWA1,ECE1,PTPRB,CLDN5,SEMA7A,FOXF2,PDGFB,ECSCR,ELK3,CDH5,PLEC,TGFBR2,CD93,RGS5,SLC7A5,ENG,KDR,SLC2A1,EGFL7,FLT1,EPAS1,EDNRB,KCNJ8,CD82,CHST1,CD34,PROX1,EHD3,SRGN,CLIC4,USHBP1,MYF6,OIT3,IL1A,C1QTNF1,PCDH12,IGFBP7,PALMD,BMX,SPARC,MGLL,SLC9A3R2,RGCC,ICAM2,SPARCL1,TM4SF1,ADIRF,SRPX,ID3,CAV1,GNG11,HSPG2,CCL14,CLEC1B,FCN2,S100A13,FCN3,CRHBP,IFI27,CCL23,SGK1,PCAT19,CDKN1C,INMT,PTGDS,TIMP3,GPM6A,FAM167B,LTC4S,STAB2
Endothelial cells (aorta)	Endothelial cells (aorta)	ITGA5,TMTC2,NR1D1,PKN3,TMTC1,SHE,ITGBL1,GRASP,ENPP4,TMEM184B,FOXC2,DHH,DENND5B,KAZALD1,FGD5,FAS,EMILIN1,MICAL2,NKX2-3,STXBP6,SYNPO,ATP2A3,GIMAP4,CMKLR1,ITGA9,SMAD6,EFNB2,ARL4D,FKBP7,NXN,PDIA5,APH1B,WBP1L,LAMB2,CHST12,P3H3,KLK10,MALL,CLEC1A,MARVELD1,FAM198B,TNS2,ATL2,ACKR3,COL4A4,COL4A3,PER3,EPHX2,KLK8,BACE2,BMP6,SULF1,CPQ,PI16,AMIGO2,PTPRJ,TRIM47,LMCD1,PDE3A,SMOC1,CRACR2B,SOD3,PCOLCE2,PTGIS,ACE,GXYLT2
Endothelial cells (blood brain barrier)	Endothelial cells (blood brain barrier)	SLC19A1,SLC38A3,TNFRSF21,FOXL2,FOXQ1,PPARD,ZIC3,ALCAM
Enteric glia cells	Enteric glia cells	GFRA3,MPZ,LGI4,L1CAM,CXCL14,DKK3,INTS6,DHRS3,SOX10,NOS2
