"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"EEF1G"	2.69171447004538e-08	0.718838504416768	0.331	0.212	0.000338348508884704	"0"	"EEF1G"
"PRDX2"	3.07989768367693e-08	0.631561725143175	0.382	0.256	0.000387143138838191	"0"	"PRDX2"
"PASK"	3.59912298352724e-08	0.780857321167267	0.121	0.048	0.000452409759029375	"0"	"PASK"
"RCAN3"	4.13402167958712e-08	1.03889681708067	0.179	0.087	0.000519646525124101	"0"	"RCAN3"
"TMEM204"	5.43758423843789e-08	1.21844051593887	0.14	0.06	0.000683504338771643	"0"	"TMEM204"
"SLC2A3"	6.08047664200544e-08	0.686181403320288	0.331	0.223	0.000764315913900084	"0"	"SLC2A3"
"PCED1B"	6.43795134217063e-08	1.39305530628429	0.114	0.044	0.000809250483710848	"0"	"PCED1B"
"TNRC6C"	6.83145701308405e-08	1.54445209795917	0.101	0.036	0.000858714146544666	"0"	"TNRC6C"
"PPA1"	8.56401466058118e-08	0.562425531699427	0.4	0.28	0.00107649664283505	"0"	"PPA1"
"EIF3E"	8.89602909085337e-08	0.572927188831766	0.454	0.337	0.00111823085672027	"0"	"EIF3E"
"RSL1D1"	1.00127897147231e-07	0.686820176396262	0.415	0.287	0.00125860766714069	"0"	"RSL1D1"
"CAMK4"	1.00162156140679e-07	1.08003276461882	0.164	0.078	0.00125903830268834	"0"	"CAMK4"
"MGAT4A"	1.2549420817927e-07	0.948546688514281	0.199	0.105	0.00157746219681342	"0"	"MGAT4A"
"DDX18"	1.40387444904705e-07	0.835147623971456	0.233	0.153	0.00176467018245214	"0"	"DDX18"
"FOXP1"	2.04568498495278e-07	0.986132625737336	0.24	0.141	0.00257142602608564	"0"	"FOXP1"
"CMTM8"	3.04973770599627e-07	1.54917450820157	0.089	0.031	0.00383352029643732	"0"	"CMTM8"
"IL6ST"	7.50355867991778e-07	1.83610718173273	0.067	0.02	0.00943197326065665	"0"	"IL6ST"
"SPOCK2"	7.99444833632996e-07	0.727131371882227	0.292	0.186	0.0100490215587668	"0"	"SPOCK2"
